#  STN,YYYYMMDD,TG,TN,TX
    10, 20170101,  40,   5,   92
    10,20170102,  -10,  -19,   10
    10,20170103,  -31,  -56,   -6
    10,20170104,  -43,  -72,    0
    10,20170105, -102, -118,  -69
    10,20170106,  -94, -138,  -57
    10,20170107,  -36,  -65,  -18
    10,20170108,  -41,  -66,  -13
    10,20170109,   15,  -13,   33
    10,20170110,   18,   11,   34
    10,20170111,   11,    0,   23
    10,20170112,   22,    0,   29
    10,20170113,   13,    6,   24
    10,20170114,  -15,  -38,    7
    10,20170115,  -28,  -45,  -11
    10,20170116,  -25,  -48,   -7
    10,20170117,  -28,  -51,   -8
    10,20170118,   18,   -9,   32
    10,20170119,   43,   27,   58
    10,20170120,   39,   21,   62
    10,20170121,   26,    8,   54
    10,20170122,   11,   -6,   34
    10,20170123,   22,   11,   33
    10,20170124,    0,  -11,   11
    10,20170125,   11,  -10,   29
    10,20170126,   41,   29,   48
    10,20170127,    3,  -10,   37
    10,20170128,  -15,  -28,    2
    10,20170129,    4,  -27,   22
    10,20170130,   26,   -2,   44
    10,20170131,   19,   13,   37
    10,20170201,    1,   -5,   18
    10,20170202,   -2,  -16,    9
    10,20170203,    0,   -5,    7
    10,20170204,   15,    3,   23
    10,20170205,    5,   -2,   12
    10,20170206,  -19,  -32,    9
    10,20170207,  -45,  -51,  -27
    10,20170208,  -36,  -49,  -17
    10,20170209,  -34,  -53,  -14
    10,20170210,  -18,  -35,    0
    10,20170211,  -26,  -44,   -5
    10,20170212,  -23,  -46,    0
    10,20170213,   -2,  -24,   25
    10,20170214,   26,  -13,   65
    10,20170215,   24,   -8,   71
    10,20170216,   15,  -16,   41
    10,20170217,   30,   11,   59
    10,20170218,   15,  -21,   66
    10,20170219,   56,   18,   72
    10,20170220,   47,   36,   62
    10,20170221,   -1,  -10,   51
    10,20170222,   10,  -29,   29
    10,20170223,   -6,  -13,   31
    10,20170224,  -26,  -58,    4
    10,20170225,  -15,  -42,    9
    10,20170226,    1,   -9,   11
    10,20170227,   18,  -12,   47
    10,20170228,   39,   31,   49
    10,20170301,   33,   12,   56
    10,20170302,   33,   20,   55
    10,20170303,   13,    7,   27
    10,20170304,   -5,  -12,   12
    10,20170305,  -19,  -25,   -8
    10,20170306,  -16,  -22,    0
    10,20170307,  -26,  -42,   -9
    10,20170308,  -16,  -27,   -5
    10,20170309,   19,  -22,   34
    10,20170310,   26,   11,   48
    10,20170311,   17,  -17,   56
    10,20170312,   39,    0,   75
    10,20170313,   40,   22,   75
    10,20170314,   57,   22,   80
    10,20170315,   68,   41,   99
    10,20170316,   50,   20,   84
    10,20170317,   62,   48,   87
    10,20170318,   35,    5,   72
    10,20170319,   11,  -18,   50
    10,20170320,   14,   -6,   30
    10,20170321,   47,    4,   91
    10,20170322,   53,   16,   85
    10,20170323,   41,    2,   75
    10,20170324,   39,  -11,   78
    10,20170325,   59,   20,   96
    10,20170326,  112,   39,  175
    10,20170327,  123,   67,  171
    10,20170328,   51,   26,  144
    10,20170329,   20,    6,   35
    10,20170330,   24,   -3,   70
    10,20170331,   23,    8,   33
    10,20170401,   67,   20,  121
    10,20170402,  104,   69,  144
    10,20170403,   44,    4,  117
    10,20170404,   70,    7,  127
    10,20170405,   76,   57,  120
    10,20170406,   57,   20,   98
    10,20170407,   65,   32,  116
    10,20170408,   62,   26,  100
    10,20170409,   98,   54,  143
    10,20170410,   89,   72,  117
    10,20170411,   60,   41,   85
    10,20170412,   33,   20,   69
    10,20170413,   17,    1,   30
    10,20170414,    2,  -16,   30
    10,20170415,    3,  -42,   54
    10,20170416,  -12,  -32,   12
    10,20170417,    9,  -32,   52
    10,20170418,   11,  -23,   38
    10,20170419,   49,  -11,  102
    10,20170420,   55,   16,   90
    10,20170421,   74,   38,  135
    10,20170422,   61,   31,   90
    10,20170423,   53,   13,   95
    10,20170424,   43,    6,   94
    10,20170425,   24,    4,   47
    10,20170426,   37,    6,   69
    10,20170427,   64,   10,  107
    10,20170428,   50,   27,   96
    10,20170429,   55,   10,  106
    10,20170430,   66,   11,  119
    10,20170501,  102,   44,  157
    10,20170502,  107,   56,  165
    10,20170503,   96,   42,  154
    10,20170504,   79,   30,  132
    10,20170505,  118,   23,  197
    10,20170506,  121,  100,  173
    10,20170507,   72,   24,  125
    10,20170508,   32,   21,   78
    10,20170509,   15,  -14,   56
    10,20170510,   26,  -11,   66
    10,20170511,   44,    0,   92
    10,20170512,   68,   28,  106
    10,20170513,   81,   26,  131
    10,20170514,  111,   63,  168
    10,20170515,   78,   67,  124
    10,20170516,   79,   14,  143
    10,20170517,   99,   61,  140
    10,20170518,  160,  112,  220
    10,20170519,  203,  125,  276
    10,20170520,  151,  131,  216
    10,20170521,  155,   93,  214
    10,20170522,  145,  100,  191
    10,20170523,  132,   99,  175
    10,20170524,  152,   80,  221
    10,20170525,  147,  114,  201
    10,20170526,  144,  117,  195
    10,20170527,  190,  116,  259
    10,20170528,  219,  166,  289
    10,20170529,  157,  136,  246
    10,20170530,  113,   99,  141
    10,20170531,  120,  106,  160
    10,20170601,  105,   74,  152
    10,20170602,  100,   52,  147
    10,20170603,  123,   71,  164
    10,20170604,  131,  104,  172
    10,20170605,  138,   98,  192
    10,20170606,  166,  118,  224
    10,20170607,  142,  120,  188
    10,20170608,  133,  102,  168
    10,20170609,  147,  115,  192
    10,20170610,  163,  109,  218
    10,20170611,  174,  127,  223
    10,20170612,  152,  125,  201
    10,20170613,  133,  118,  153
    10,20170614,  173,  108,  248
    10,20170615,  174,  141,  245
    10,20170616,  173,  142,  219
    10,20170617,  185,  113,  255
    10,20170618,  210,  162,  260
    10,20170619,  195,  171,  246
    10,20170620,  160,  138,  197
    10,20170621,  152,  118,  190
    10,20170622,  150,  120,  194
    10,20170623,  147,  109,  198
    10,20170624,  152,  114,  203
    10,20170625,  145,  120,  185
    10,20170626,  134,  104,  180
    10,20170627,  145,  111,  180
    10,20170628,  156,  120,  216
    10,20170629,  149,   98,  195
    10,20170630,  161,  131,  189
    10,20170701,  159,  132,  198
    10,20170702,  178,  142,  241
    10,20170703,  164,  126,  229
    10,20170704,  138,  123,  160
    10,20170705,  145,  112,  204
    10,20170706,  151,  105,  222
    10,20170707,  177,  126,  237
    10,20170708,  163,  129,  228
    10,20170709,  170,  141,  216
    10,20170710,  187,  133,  253
    10,20170711,  177,  144,  219
    10,20170712,  188,  145,  223
    10,20170713,  165,  128,  207
    10,20170714,  171,  121,  235
    10,20170715,  180,  132,  243
    10,20170716,  178,  136,  241
    10,20170717,  170,  137,  220
    10,20170718,  179,  135,  225
    10,20170719,  162,  126,  212
    10,20170720,  177,  135,  234
    10,20170721,  170,  114,  232
    10,20170722,  181,  133,  245
    10,20170723,  181,  142,  238
    10,20170724,  173,  115,  248
    10,20170725,  174,  132,  227
    10,20170726,  172,  135,  205
    10,20170727,  188,  131,  246
    10,20170728,  175,  161,  200
    10,20170729,  192,  145,  243
    10,20170730,  194,  160,  246
    10,20170731,  202,  165,  250
    10,20170801,  196,  156,  247
    10,20170802,  195,  163,  248
    10,20170803,  190,  141,  252
    10,20170804,  177,  145,  226
    10,20170805,  176,  147,  218
    10,20170806,  149,  138,  190
    10,20170807,  174,  132,  222
    10,20170808,  186,  140,  239
    10,20170809,  187,  141,  236
    10,20170810,  188,  154,  229
    10,20170811,  198,  151,  255
    10,20170812,  190,  169,  214
    10,20170813,  150,  125,  200
    10,20170814,  171,  106,  233
    10,20170815,  170,  124,  226
    10,20170816,  172,  141,  201
    10,20170817,  184,  135,  241
    10,20170818,  172,  150,  195
    10,20170819,  181,  154,  217
    10,20170820,  162,  130,  208
    10,20170821,  165,  123,  217
    10,20170822,  144,  128,  172
    10,20170823,  145,  114,  185
    10,20170824,  162,  103,  212
    10,20170825,  133,  107,  187
    10,20170826,  140,  101,  182
    10,20170827,  136,   95,  185
    10,20170828,  145,   84,  211
    10,20170829,  176,  138,  222
    10,20170830,  194,  156,  237
    10,20170831,  153,  126,  204
    10,20170901,  145,  110,  185
    10,20170902,  144,  112,  183
    10,20170903,  137,  108,  161
    10,20170904,  129,  117,  150
    10,20170905,  142,  130,  166
    10,20170906,  129,  109,  157
    10,20170907,  118,   86,  153
    10,20170908,  120,   94,  146
    10,20170909,  145,  109,  177
    10,20170910,  151,  132,  186
    10,20170911,  150,  117,  182
    10,20170912,  158,  134,  194
    10,20170913,  137,  107,  181
    10,20170914,  124,  110,  141
    10,20170915,  130,  106,  161
    10,20170916,  127,   93,  167
    10,20170917,  120,   99,  154
    10,20170918,   99,   67,  129
    10,20170919,   99,   87,  134
    10,20170920,   87,   49,  124
    10,20170921,  130,   82,  168
    10,20170922,  126,  120,  136
    10,20170923,  140,  124,  161
    10,20170924,  146,  124,  182
    10,20170925,  148,  126,  188
    10,20170926,  142,  114,  181
    10,20170927,  136,  123,  160
    10,20170928,  130,  114,  155
    10,20170929,  119,  110,  134
    10,20170930,  112,   91,  141
    10,20171001,  115,   89,  147
    10,20171002,  125,  104,  139
    10,20171003,  125,  110,  148
    10,20171004,  111,   97,  138
    10,20171005,   89,   60,  110
    10,20171006,   94,   71,  119
    10,20171007,   66,   54,  100
    10,20171008,   68,   46,   83
    10,20171009,   89,   76,  109
    10,20171010,   77,   72,   86
    10,20171011,   70,   48,   95
    10,20171012,  105,   72,  129
    10,20171013,   78,   68,   95
    10,20171014,  122,   72,  153
    10,20171015,  112,   95,  126
    10,20171016,  140,  118,  164
    10,20171017,  117,  101,  143
    10,20171018,   83,   67,  122
    10,20171019,   62,   37,   92
    10,20171020,   62,   32,  102
    10,20171021,   69,   50,   97
    10,20171022,   65,   47,   81
    10,20171023,   54,   39,   69
    10,20171024,   49,   30,   64
    10,20171025,   85,   63,  101
    10,20171026,   52,   39,   96
    10,20171027,   44,   37,   49
    10,20171028,   67,   47,   76
    10,20171029,   32,   15,   74
    10,20171030,   25,   15,   43
    10,20171031,   29,    0,   43
    10,20171101,   62,   31,   78
    10,20171102,   74,   54,   96
    10,20171103,   47,   10,   71
    10,20171104,   80,   63,   97
    10,20171105,   93,   84,  101
    10,20171106,   64,   49,  100
    10,20171107,   39,   14,   73
    10,20171108,   42,   24,   58
    10,20171109,   69,   51,   79
    10,20171110,   61,   43,   79
    10,20171111,   54,   44,   70
    10,20171112,   16,    3,   45
    10,20171113,    8,   -9,   23
    10,20171114,    2,  -19,   19
    10,20171115,   23,   -4,   57
    10,20171116,   23,    3,   41
    10,20171117,   53,   26,   72
    10,20171118,   44,   30,   70
    10,20171119,   -3,  -23,   33
    10,20171120,   -6,  -20,    4
    10,20171121,  -18,  -29,   -4
    10,20171122,   -4,  -50,   37
    10,20171123,   76,   28,   85
    10,20171124,   57,   45,   80
    10,20171125,   21,    6,   46
    10,20171126,   17,    1,   34
    10,20171127,   37,   27,   50
    10,20171128,   42,   24,   53
    10,20171129,   40,   28,   53
    10,20171130,   27,   22,   38
    10,20171201,   16,    8,   31
    10,20171202,    2,  -20,   20
    10,20171203,   38,   19,   56
    10,20171204,    0,   -8,   19
    10,20171205,  -10,  -28,   20
    10,20171206,   -6,  -15,    3
    10,20171207,   44,   -5,   69
    10,20171208,   50,   43,   62
    10,20171209,   34,   27,   50
    10,20171210,   10,    0,   28
    10,20171211,    2,  -14,   14
    10,20171212,    3,    1,   10
    10,20171213,   -9,  -42,   19
    10,20171214,   28,   12,   37
    10,20171215,   21,   15,   30
    10,20171216,   12,    7,   18
    10,20171217,  -25,  -36,   14
    10,20171218,  -11,  -42,   11
    10,20171219,   -7,  -20,   18
    10,20171220,   14,  -24,   33
    10,20171221,    5,   -4,   32
    10,20171222,   -1,  -12,   13
    10,20171223,   37,  -15,   63
    10,20171224,   13,    1,   63
    10,20171225,   23,  -19,   67
    10,20171226,   31,   10,   66
    10,20171227,   32,   26,   44
    10,20171228,   45,   30,   55
    10,20171229,   31,   26,   48
    10,20171230,   20,   10,   32
    10,20171231,   28,   22,   34
    13,20170101,  -18,  -91,   54
    13,20170102,   70,   61,   79
    13,20170103,   -1,  -33,   31
    13,20170104,   15,  -40,   70
    13,20170105,  -12,  -16,   -9
    13,20170106,  -64,  -71,  -58
    13,20170107, -124, -169,  -80
    13,20170108,  -56,  -81,  -31
    13,20170109,  -24,  -45,   -4
    13,20170110,  -52,  -80,  -25
    13,20170111,  -54,  -99,   -9
    13,20170112,   -1,  -29,   27
    13,20170113,   21,    4,   39
    13,20170114,  -37,  -65,   -9
    13,20170115,  -46,  -94,    1
    13,20170116,  -60,  -86,  -34
    13,20170117,  -45,  -66,  -25
    13,20170118,  -67,  -91,  -44
    13,20170119,  -82, -140,  -25
    13,20170120,  -75, -150,   -1
    13,20170121,  -64, -144,   15
    13,20170122,  -57, -139,   24
    13,20170123,  -43, -118,   31
    13,20170124,  -92, -139,  -45
    13,20170125,  -66, -100,  -33
    13,20170126,  -80, -156,   -4
    13,20170127,  -19,  -94,   56
    13,20170128,    4,  -60,   69
    13,20170129,  -16,  -94,   61
    13,20170130,  -32,  -96,   32
    13,20170131,   28,   14,   42
    13,20170201,   25,   10,   40
    13,20170202,   62,    4,  120
    13,20170203,   61,    2,  121
    13,20170204,   38,   15,   62
    13,20170205,   14,  -15,   44
    13,20170206,    6,   -8,   21
    13,20170207,   33,    2,   65
    13,20170208,   26,    5,   47
    13,20170209,   29,    0,   59
    13,20170210,   20,  -41,   82
    13,20170211,   40,  -34,  115
    13,20170212,   51,  -14,  116
    13,20170213,    7,  -19,   34
    13,20170214,   58,  -24,  140
    13,20170215,   52,  -39,  144
    13,20170216,   47,  -33,  127
    13,20170217,   11,  -18,   41
    13,20170218,   42,    5,   79
    13,20170219,   34,  -31,   99
    13,20170220,   66,    6,  126
    13,20170221,   64,   29,  100
    13,20170222,  115,   51,  180
    13,20170223,  107,   11,  204
    13,20170224,   72,   65,   80
    13,20170225,   46,   -8,  101
    13,20170226,   40,  -24,  104
    13,20170227,   85,   11,  160
    13,20170228,   60,   20,  101
    13,20170301,   55,    6,  104
    13,20170302,   78,   36,  121
    13,20170303,   64,  -24,  152
    13,20170304,   97,   44,  151
    13,20170305,   48,   31,   66
    13,20170306,   59,   11,  107
    13,20170307,   47,   32,   62
    13,20170308,   58,   22,   95
    13,20170309,   52,   40,   65
    13,20170310,   90,   51,  130
    13,20170311,   56,  -23,  136
    13,20170312,   73,    1,  146
    13,20170313,   68,  -15,  151
    13,20170314,   71,    0,  142
    13,20170315,   76,   -9,  161
    13,20170316,   92,    1,  184
    13,20170317,  106,    1,  212
    13,20170318,  114,   72,  156
    13,20170319,  135,   79,  191
    13,20170320,  107,   29,  186
    13,20170321,  106,   51,  161
    13,20170322,  101,   81,  121
    13,20170323,  113,   41,  186
    13,20170324,  130,   61,  200
    13,20170325,  111,   72,  151
    13,20170326,   79,   19,  140
    13,20170327,   89,   -9,  187
    13,20170328,  106,    7,  206
    13,20170329,  126,   46,  206
    13,20170330,  132,   46,  219
    13,20170331,  131,   36,  227
    13,20170401,  126,   56,  197
    13,20170402,  125,   45,  206
    13,20170403,  134,   80,  189
    13,20170404,  110,   81,  140
    13,20170405,   93,   66,  120
    13,20170406,   88,   66,  111
    13,20170407,   86,   26,  147
    13,20170408,  117,   24,  211
    13,20170409,  136,   41,  232
    13,20170410,  141,   46,  236
    13,20170411,  119,   92,  146
    13,20170412,  120,   35,  206
    13,20170413,  131,   66,  196
    13,20170414,  103,   25,  181
    13,20170415,  125,   74,  176
    13,20170416,   83,   70,   97
    13,20170417,   83,   40,  126
    13,20170418,   45,   21,   70
    13,20170419,   20,    1,   40
    13,20170420,   22,  -15,   59
    13,20170421,   40,  -44,  125
    13,20170422,   78,  -14,  170
    13,20170423,   87,   39,  136
    13,20170424,   96,   -4,  196
    13,20170425,  117,   42,  192
    13,20170426,  100,   71,  130
    13,20170427,   53,   36,   71
    13,20170428,   23,    6,   41
    13,20170429,   76,   21,  131
    13,20170430,   86,   -6,  179
    13,20170501,  109,   47,  171
    13,20170502,  105,   41,  169
    13,20170503,  129,   80,  179
    13,20170504,   99,   37,  161
    13,20170505,  122,   70,  175
    13,20170506,  113,   37,  190
    13,20170507,  116,   97,  136
    13,20170508,  118,   90,  146
    13,20170509,  106,   69,  144
    13,20170510,  120,   15,  226
    13,20170511,  137,   61,  214
    13,20170512,  162,  109,  215
    13,20170513,  170,  109,  232
    13,20170514,  170,  114,  226
    13,20170515,  153,  120,  187
    13,20170516,  166,   86,  246
    13,20170517,  184,   91,  277
    13,20170518,  203,  120,  286
    13,20170519,  225,  129,  322
    13,20170520,  123,   96,  151
    13,20170521,  153,  101,  205
    13,20170522,  173,   82,  265
    13,20170523,  173,   96,  250
    13,20170524,  178,  131,  226
    13,20170525,  165,  120,  211
    13,20170526,  176,  101,  252
    13,20170527,  188,   95,  282
    13,20170528,  207,  116,  299
    13,20170529,  219,  127,  312
    13,20170530,  214,  137,  291
    13,20170531,  208,  155,  261
    13,20170601,  199,  154,  245
    13,20170602,  191,  147,  236
    13,20170603,  196,  112,  280
    13,20170604,  172,  161,  184
    13,20170605,  181,  126,  237
    13,20170606,  172,  134,  210
    13,20170607,  136,   86,  187
    13,20170608,  143,   51,  236
    13,20170609,  187,   82,  292
    13,20170610,  197,  139,  256
    13,20170611,  208,  112,  304
    13,20170612,  228,  147,  310
    13,20170613,  235,  174,  296
    13,20170614,  211,  151,  271
    13,20170615,  228,  145,  311
    13,20170616,  198,  166,  230
    13,20170617,  184,  127,  241
    13,20170618,  206,  151,  261
    13,20170619,  213,  115,  312
    13,20170620,  245,  161,  329
    13,20170621,  243,  177,  310
    13,20170622,  252,  166,  339
    13,20170623,  261,  191,  331
    13,20170624,  235,  172,  299
    13,20170625,  201,  176,  226
    13,20170626,  220,  135,  306
    13,20170627,  227,  171,  284
    13,20170628,  203,  166,  241
    13,20170629,  179,  145,  214
    13,20170630,  167,  111,  224
    13,20170701,  164,  117,  211
    13,20170702,  157,  134,  180
    13,20170703,  184,  139,  230
    13,20170704,  188,  106,  271
    13,20170705,  216,  126,  307
    13,20170706,  228,  132,  324
    13,20170707,  245,  174,  316
    13,20170708,  223,  170,  276
    13,20170709,  210,  156,  265
    13,20170710,  206,  161,  252
    13,20170711,  201,  151,  251
    13,20170712,  214,  162,  266
    13,20170713,  183,  141,  226
    13,20170714,  175,  151,  200
    13,20170715,  160,  126,  194
    13,20170716,  169,  106,  232
    13,20170717,  194,  101,  287
    13,20170718,  226,  144,  309
    13,20170719,  221,  142,  300
    13,20170720,  216,  166,  266
    13,20170721,  203,  145,  261
    13,20170722,  221,  166,  276
    13,20170723,  211,  161,  262
    13,20170724,  163,  156,  171
    13,20170725,  159,  112,  206
    13,20170726,  129,  121,  137
    13,20170727,  142,   89,  196
    13,20170728,  181,  136,  227
    13,20170729,  202,  129,  276
    13,20170730,  232,  164,  300
    13,20170731,  207,  137,  277
    13,20170801,  251,  161,  342
    13,20170802,  242,  194,  291
    13,20170803,  235,  161,  310
    13,20170804,  243,  176,  310
    13,20170805,  250,  204,  296
    13,20170806,  167,  164,  170
    13,20170807,  189,  134,  244
    13,20170808,  211,  132,  290
    13,20170809,  195,  145,  246
    13,20170810,  178,  146,  211
    13,20170811,  136,  117,  156
    13,20170812,  143,  116,  170
    13,20170813,  189,  127,  251
    13,20170814,  203,  120,  287
    13,20170815,  221,  137,  306
    13,20170816,  210,  166,  254
    13,20170817,  211,  137,  286
    13,20170818,  233,  152,  314
    13,20170819,  167,  161,  174
    13,20170820,  157,  115,  200
    13,20170821,  143,   75,  212
    13,20170822,  172,  109,  236
    13,20170823,  180,  106,  254
    13,20170824,  211,  126,  296
    13,20170825,  215,  151,  280
    13,20170826,  227,  159,  296
    13,20170827,  201,  137,  265
    13,20170828,  196,  132,  261
    13,20170829,  208,  140,  276
    13,20170830,  216,  126,  306
    13,20170831,  216,  161,  271
    13,20170901,  145,  139,  151
    13,20170902,  118,  116,  120
    13,20170903,  121,   86,  156
    13,20170904,  134,   70,  199
    13,20170905,  160,  111,  209
    13,20170906,  155,  125,  186
    13,20170907,  157,  119,  196
    13,20170908,  148,   81,  215
    13,20170909,  158,  100,  217
    13,20170910,  123,  100,  146
    13,20170911,  131,   82,  181
    13,20170912,  124,  107,  142
    13,20170913,  137,   65,  209
    13,20170914,  152,   92,  212
    13,20170915,  100,   52,  149
    13,20170916,   98,   86,  110
    13,20170917,  105,   70,  141
    13,20170918,  110,   56,  165
    13,20170919,   83,   76,   91
    13,20170920,   88,   67,  109
    13,20170921,  121,   66,  177
    13,20170922,  109,   32,  186
    13,20170923,  126,   51,  201
    13,20170924,  137,  105,  170
    13,20170925,  131,   81,  182
    13,20170926,  131,   66,  196
    13,20170927,  133,   66,  200
    13,20170928,  136,   71,  201
    13,20170929,  131,   74,  189
    13,20170930,  155,  106,  205
    13,20171001,  130,  125,  135
    13,20171002,  131,   76,  186
    13,20171003,  140,  124,  156
    13,20171004,  124,   75,  174
    13,20171005,  153,   50,  256
    13,20171006,   96,   59,  134
    13,20171007,  106,   54,  159
    13,20171008,  110,   76,  144
    13,20171009,  124,   85,  164
    13,20171010,  115,   64,  166
    13,20171011,  115,   44,  187
    13,20171012,  119,   37,  201
    13,20171013,  125,   56,  194
    13,20171014,  126,   44,  209
    13,20171015,  137,   50,  224
    13,20171016,  136,   51,  222
    13,20171017,  125,   42,  209
    13,20171018,  126,   42,  211
    13,20171019,  121,   36,  206
    13,20171020,  126,   47,  206
    13,20171021,  132,   76,  189
    13,20171022,   88,   85,  -23
    13,20171023,   62,   52,   72
    13,20171024,   98,   56,  141
    13,20171025,   90,   26,  155
    13,20171026,  101,   27,  176
    13,20171027,   63,   26,  100
    13,20171028,   78,   40,  117
    13,20171029,  113,   61,  165
    13,20171030,   62,   12,  112
    13,20171031,   46,  -14,  106
    13,20171101,   39,   -9,   87
    13,20171102,   57,    4,  111
    13,20171103,   93,   51,  135
    13,20171104,   85,   20,  151
    13,20171105,  106,   41,  171
    13,20171106,   24,    9,   40
    13,20171107,   47,   29,   66
    13,20171108,   43,   29,   57
    13,20171109,   56,   41,   72
    13,20171110,   43,   15,   71
    13,20171111,   58,   40,   76
    13,20171112,   87,   60,  115
    13,20171113,    9,    2,   16
    13,20171114,   16,  -18,   51
    13,20171115,   10,  -24,   44
    13,20171116,   11,  -44,   66
    13,20171117,   15,   -6,   36
    13,20171118,   45,   15,   76
    13,20171119,   25,    5,   45
    13,20171120,    5,  -25,   36
    13,20171121,   40,   11,   70
    13,20171122,   47,    5,   90
    13,20171123,   44,  -26,  115
    13,20171124,   37,  -24,   99
    13,20171125,   48,    6,   91
    13,20171126,   24,   14,   35
    13,20171127,   26,   -8,   60
    13,20171128,   12,  -18,   42
    13,20171129,   17,   -6,   40
    13,20171130,    6,    1,   12
    13,20171201,  -26,  -64,   11
    13,20171202,  -19,  -39,    0
    13,20171203,  -15,  -35,    5
    13,20171204,    0,-9999,    9
    13,20171205,   11,    2,   21
    13,20171206,   -3,  -33,   26
    13,20171207,   -6,  -49,   36
    13,20171208,   -2,  -41,   36
    13,20171209,   -8,  -28,   11
    13,20171210,  -49,  -86,  -13
    13,20171211,   53,  -23,  130
    13,20171212,   32,   25,   39
    13,20171213,    5,   -4,   14
    13,20171214,   -7,  -26,   11
    13,20171215,   11,    2,   21
    13,20171216,    0,  -18,   19
    13,20171217,   -3,  -10,    4
    13,20171218,  -51,  -79,  -24
    13,20171219,  -31,  -63,    1
    13,20171220,   -8,  -33,   16
    13,20171221,  -32,  -80,   15
    13,20171222,   11,   -6,   29
    13,20171223,   19,   10,   29
    13,20171224,   -1,  -43,   40
    13,20171225,   -7,  -59,   44
    13,20171226,   -4,  -63,   55
    13,20171227,   34,  -31,  100
    13,20171228,   23,   10,   36
    13,20171229,   -3,  -26,   20
    13,20171230,  -14,  -43,   15
    13,20171231,   11,    1,   21
